Academic Body;Title
Luis Alberto Alonso Pastor;"Research Scientist, City Science Group; Principal Investigator, Andorra Living Lab Project, Massachusetts Institute of Technology (MIT) Media Lab, Boston, MA, United States"
Marco Sammicheli;"Director, Museo del Design Italiano; Curator, Design, fashion, & crafts, Triennale Milano, Milan, Italy"
Niklas Maak;Arts Editor Frankfurter Allgemeine, Frankfurt, Germany
Pierandrea Angius;"Studio Master, Architectural Association (AA), Design Research Lab (AADRL), London, UK; Senior Consultant, Ferrari S.p.A., Modena, Italy; Lecturer, University of Pennsylvania, Stuart Weitzman School of Design, London Design Studio, Pennsylvania, PA, USA."
Andrés Jaque;"Dean of Columbia University Graduate School of Architecture, Planning and Preservation, New York, United States; Founder, Office for Political Innovation, New York, United States, Madrid, Spain"
Carlo Ratti;"Director, Senseable City Lab, MIT, Cambridge, MA, USA; Founding Partner, CRA-Carlo Ratti Associati, Turin, Italy; Curator, 2025 Venice Architecture Biennale, Venice, Italy."
Mattia Federico Leone;"Associate Professor, Università di Napoli Federico II, (UNINA), Naples, Italy; Co-Director Urban Climate Change Research Network European Hub."
Raül Daussà-Pastor;"Consulting Director, Anteverti, Barcelona, Spain

"
Mark Antony Wigley;Professor of Architecture and Dean Emeritus of the Graduate School of Architecture, Planning and Preservation (GSAPP) at Columbia University
Beatriz Gil Gómez de Liaño;Associate Professor, School of Psychology, Universidad Autónoma de Madrid (UAM), Madrid, Spain
Cristina Iglesias;Installation Artist and Sculptor,  Cristina Iglesias Studio, Madrid, Spain
Catherine Cummings;CSR & Public Affairs Director, Sanitas and Bupa, Madrid, Spain
Tim Stonor;"Architect and Urban Planner; Managing Director, Space Syntax, London, United Kingdom"
Edgar Pieterse;"Founding Director, African Centre for Cities; Professor in the School of Architecture, Planning and Geomatics, University of Cape Town, Cape Town, South Africa"
Frédérick Bordry;"Chief Technology Officer (CTO) of Gauss Fusion; CERN Honorary Member - Special Advisor to the CERN DG; Former CERN Director for Accelerators and Technology"
Maria Vassilakou;"Founder & CEO Vassilakou Urban Consulting GmbH; Former Vice Mayor, Vienna, Austria"
David Andres León;Director, Master in Advanced Computation for Architecture and Design (MaCAD), Institute for advanced architecture of Catalonia (IaaC), Barcelona, Spain
Eduardo Estrada Alonso;Associate Professor, School of Psychology, Universidad Autónoma de Madrid (UAM), Madrid, Spain
Henk Ovink;Executive Director and Founding Commissioner, Global Commission on the Economics of Water, OECD, Amsterdam, The Netherlands
Claudia van der Laag Yamu;Professor of Urban Analytics, Department of Built Environment, Oslo Metropolitan University, Oslo, Norway
Joseph G. Allen;"Associate Professor; Director, Healthy Buildings Program, T.H. Chan School of Public Health, Harvard University, Cambridge, MA, United States"
Flora Roumpani;"Research Associate, The Alan Turing Institute; Visiting Lecturer, Royal College of Art, London, United Kingdom"
Kevin Austin;Deputy Executive Director, C40 Cities, London, United Kingdom
Emanuele Naboni;"Visiting Researcher and Associate Professor of Sustainable and Climatic Design, Institute of Architecture and Technology, Royal Danish Academy, Copenhagen, Denmark; Distinguished Professor, University of Seville, Seville, Spain"
David Pascual-Ezama;Associate Professor, Universidad Complutense Madrid, Madrid, Spain
Anne Lacaton;Co-founder and Codirector, Lacaton et Vassal Architectes
Luís M. A. Bettencourt;"Professor, Department of Ecology and Evolution, UChicago; Associate Faculty and Special Friend, Department of Sociology, UChicago; External Professor, Santa Fe Institute, Chigago, United States"
Gil Penalosa;"Founder & Chair, 880 Cities; Founder, Cities for Everyone, Toronto, ON, Canada"
Catherine De Wolf;"Director, Circular Engineering for Architecture (CEA); Professor of Circular Engineering for Architecture; Swiss Federal Institute of Technology Zürich (ETH Zürich), Zürich, Switzerland"
Ricky Burdett;Director, LSE Cities, London School fo Economics, London, United KIngdom
Morris [Marty] Hylton III;President of Architecture Sarasota, Sarasota, FL, United States
Naiara Vegara Gorroño;Vice President Metropoli Foundation, Madrid, Spain
Lorena Martínez González;Assistant Professor, School of Economics and Business Studies, Universidad Autónoma de Madrid (UAM), Madrid, Spain
Hermógenes del Real Álvarez;Professor, School of Economics and Business Studies, Universidad Autónoma de Madrid (UAM), Madrid, Spain
Pedro González Torroba;"Advisor to the Office of the Mayor of Madrid; Associate Proffesor, Universidad Autónoma de Madrid, Madrid, Spain"
Susan Liautaud;Chair of Council, Board of Trustees, London School of Economics and Political Science and Founder and Managing Director Susan Liautaud & Associates Limited
Luis Lloredo;"Professor of Philosophy of Law and Political Philosophy, Universidad Carlos III; Ramón y Cajal Professor, Universidad Autónoma de Madrid, Madrid, Spain"
Vishaan Chakrabarti;Founder and Creative Director, Practice for Architecture and Urbanism (PAU)
Jonathan Natanian;"Founder, studioADAPT; Assistant Professor, Head of EDPL Lab Technion Israel Institute of Technology, Haifa, Israel"
Carmen Pérez Esparrells;Associate Professor, Department of Economics and Public Finance, Universidad Autónoma de Madrid (UAM), Madrid, Spain
Juan Ramón Campos Blazquez;"Assistant Professor, School of Economics and Business Studies, Universidad Autónoma de Madrid (UAM); Board Member, People4, Madrid, Spain"
María del Carmen Calvo Poyato;President of the State Council, Madrid, Spain
Beatrice Galilee;Founder and Executive Director, The World Around, New York City, NY, USA
Alejandro Aravena;"Executive Director, ELEMENTAL, Santiago, Chile; ELEMENTAL Copec Chair, Universidad Católica de Chile"
Beatriz Corredor;"Former Minister, Housing, Spain; President, Red Eléctrica"
Oscar Fanjul;Founding Chairman and Former CEO, Ferrovial
Deborah Berke;Dean, Yale School of Architecture, Yale University
Shigeru Ban;Founder and Principal Architect, Shigeru Ban Architects
Ian Goldin;Founding Director, Oxford Martin School, Oxford University
Dava J. Newman;Director, Media Lab, Massachusetts Institute of Technology (MIT)
